key,category,type,flags,default,source,lineno,django_setting,found_by,safe_to_delete,hints,has_db_value,has_disk_value,usages
spans.buffer.root-timeout,static/active,Int,FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,10,src/sentry/options/defaults.py,2854,,both,NEVER_DELETE,,,,src/sentry/spans/README.md; src/sentry/spans/buffer.py; tests/sentry/spans/test_buffer.py
spans.buffer.segment-page-size,static/active,Int,FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,100,src/sentry/options/defaults.py,2861,,both,NEVER_DELETE,,,,src/sentry/spans/buffer_store.py; tests/sentry/spans/test_buffer.py; tests/sentry/spans/test_buffer_store.py
spans.buffer.timeout,static/active,Int,FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,60,src/sentry/options/defaults.py,2847,,both,NEVER_DELETE,,,,src/sentry/spans/README.md; src/sentry/spans/buffer.py; tests/sentry/spans/test_buffer.py
spans.drop-in-buffer,static/active,Sequence,FLAG_ALLOW_EMPTY | FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,[],src/sentry/options/defaults.py,2833,,string,NEVER_DELETE,,,,src/sentry/killswitches.py; src/sentry/spans/consumers/process/factory.py; tests/sentry/spans/consumers/process/test_consumer.py
spans.process-segments.consumer.enable,static/active,inferred,FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,True,src/sentry/options/defaults.py,2981,,both,NEVER_DELETE,,,,src/sentry/spans/consumers/process_segments/factory.py; tests/sentry/spans/consumers/process_segments/test_factory.py
spans.process-segments.dedupe-filter-enable,static/active,inferred,FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,False,src/sentry/options/defaults.py,3019,,both,NEVER_DELETE,,,,src/sentry/spans/consumers/process_segments/factory.py; tests/sentry/spans/consumers/process_segments/test_factory.py
spans.process-segments.dedupe-ttl,static/active,Int,FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,0,src/sentry/options/defaults.py,3011,,both,NEVER_DELETE,,,,src/sentry/spans/consumers/process_segments/factory.py; tests/sentry/spans/consumers/process_segments/test_factory.py
spans.process-segments.detect-performance-problems.enable,static/active,inferred,FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,False,src/sentry/options/defaults.py,2986,,both,NEVER_DELETE,,,,src/sentry/spans/consumers/process_segments/message.py; tests/sentry/spans/consumers/process_segments/test_message.py
spans.process-segments.drop-segments,static/active,Sequence,FLAG_AUTOMATOR_MODIFIABLE,[],src/sentry/options/defaults.py,2996,,string,NEVER_DELETE,,,,src/sentry/killswitches.py; src/sentry/spans/consumers/process_segments/message.py; tests/sentry/spans/consumers/process_segments/test_message.py
spans.process-segments.schema-validation,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,0.0,src/sentry/options/defaults.py,2991,,string,NEVER_DELETE,,,,src/sentry/spans/consumers/process/factory.py; tests/sentry/spans/consumers/process/test_consumer.py; tests/sentry/spans/test_buffer.py
spans.process-segments.skip-enrichment-projects,static/active,Sequence,FLAG_AUTOMATOR_MODIFIABLE,[],src/sentry/options/defaults.py,3002,,both,NEVER_DELETE,,,,src/sentry/spans/consumers/process_segments/message.py; tests/sentry/spans/consumers/process_segments/test_message.py
spans.process-spans.profiling.rate,static/active,Float,FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,0.0,src/sentry/options/defaults.py,2840,,both,NEVER_DELETE,,,,src/sentry/utils/sdk.py
staff.ga-rollout,static/active,Bool,FLAG_MODIFIABLE_BOOL | FLAG_AUTOMATOR_MODIFIABLE,False,src/sentry/options/defaults.py,291,,both,NEVER_DELETE,,,,src/sentry/auth/staff.py; tests/getsentry/api/test_admin_billingplans.py; tests/getsentry/api/test_admin_integration.py; tests/getsentry/api/test_admin_invoice_comparison.py; tests/getsentry/api/test_admin_options.py; tests/getsentry/api/test_admin_organization_member.py; tests/getsentry/api/test_admin_superuser_check.py; tests/getsentry/api/test_admin_user_suspend.py; tests/getsentry/api/test_customer_charge_details.py; tests/getsentry/api/test_customer_charges.py; tests/getsentry/api/test_customer_details.py; tests/getsentry/api/test_customer_invoice_details.py; tests/getsentry/api/test_customer_invoices.py; tests/getsentry/api/test_customer_subscription.py; tests/getsentry/api/test_organization_force_auto_assignment_admin.py; tests/getsentry/web/test_superuser_staff_template.py; tests/sentry/api/endpoints/test_api_tokens.py; tests/sentry/api/endpoints/test_organization_fork.py; tests/sentry/api/test_data_secrecy.py; tests/sentry/api/test_permissions.py; tests/sentry/integrations/api/endpoints/test_doc_integrations.py; tests/sentry/relocation/api/endpoints/artifacts/test_details.py; tests/sentry/relocation/api/endpoints/artifacts/test_index.py; tests/sentry/relocation/api/endpoints/test_abort.py; tests/sentry/relocation/api/endpoints/test_cancel.py; tests/sentry/relocation/api/endpoints/test_details.py; tests/sentry/relocation/api/endpoints/test_index.py; tests/sentry/relocation/api/endpoints/test_pause.py; tests/sentry/relocation/api/endpoints/test_public_key.py; tests/sentry/relocation/api/endpoints/test_recover.py; tests/sentry/relocation/api/endpoints/test_retry.py; tests/sentry/relocation/api/endpoints/test_unpause.py; tests/sentry/sentry_apps/api/endpoints/test_sentry_app_details.py; tests/sentry/sentry_apps/api/endpoints/test_sentry_apps_stats.py; tests/sentry/users/api/endpoints/test_user_authenticator_details.py; tests/sentry/users/api/endpoints/test_user_details.py; tests/sentry/users/api/endpoints/test_user_details_analytics.py; tests/sentry/users/api/endpoints/test_user_index.py; tests/sentry/users/api/endpoints/test_user_permission_details.py; tests/sentry/users/api/endpoints/test_user_permissions.py; tests/sentry/users/api/endpoints/test_user_permissions_config.py; tests/sentry/web/frontend/test_data_secrecy_error.py; tests/sentry/web/frontend/test_react_page.py; tests/sentry/web/test_api.py
staff.user-email-allowlist,static/active,Sequence,FLAG_ALLOW_EMPTY | FLAG_AUTOMATOR_MODIFIABLE,[],src/sentry/options/defaults.py,297,,both,NEVER_DELETE,,,,src/sentry/auth/staff.py
standalone-span-discard-transaction,static/active,inferred,FLAG_MODIFIABLE_BOOL | FLAG_AUTOMATOR_MODIFIABLE,False,getsentry/models/__init__.py,331,,string,NEVER_DELETE,,,,getsentry/features.py; tests/getsentry/test_features.py
standalone-span-discard-transaction-project-allowlist,static/active,Sequence,FLAG_AUTOMATOR_MODIFIABLE,[],getsentry/models/__init__.py,337,,string,NEVER_DELETE,,,,getsentry/features.py; tests/getsentry/test_features.py
statistical_detectors.enable,static/active,inferred,FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,False,src/sentry/options/defaults.py,2388,,both,NEVER_DELETE,,,,src/sentry/tasks/statistical_detectors.py; tests/sentry/tasks/test_statistical_detectors.py
statistical_detectors.query.batch_size,static/active,Int,FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,100,src/sentry/options/defaults.py,2393,,both,NEVER_DELETE,,,,src/sentry/statistical_detectors/detector.py
